OGid	start	stop	state
45b0	0	88	1A
45b0	88	386	2
45b0	386	471	1A
45b0	471	527	1B
45b0	527	599	1A
45b0	599	644	1B
45b0	644	1123	1A
45b0	1123	1138	3
45b0	1138	1173	1A
45b0	1173	1241	1B
45b0	1241	1405	1A
45b0	1405	1424	0
3f97	0	28	0
3f97	28	613	2
3f97	613	754	1A
3f97	754	829	1B
3f97	829	951	1A
3f97	951	969	1B
3f97	969	1163	1A
3f97	1163	1400	1B
3f97	1400	1434	1A
3f97	1434	1466	1B
3f97	1466	1492	1A
3f97	1492	1512	1B
3f97	1512	1639	1A
3f97	1639	1670	1B
3f97	1639	1784	1A
3f97	1784	1795	1B
3f97	1795	2042	1A
3f97	2042	2071	1B
3f97	2071	2089	1A
3f97	2089	2209	3
3f97	2209	2257	1B
3f97	2257	2289	1A
3f97	2289	2307	3
3f97	2307	2332	1A
3f97	2332	2651	3
3f97	2651	2727	1A
3f97	2727	2797	1B
3f97	2797	2861	1A
3f97	2861	2911	1B
3f97	2911	3186	1A
3f97	3186	3227	1B
3f97	3227	3665	1A
02bb	0	13	3
02bb	13	202	1A
02bb	202	220	1B
02bb	220	245	3
02bb	245	894	1B
02bb	894	952	3
02bb	952	1279	1B
02bb	1279	1307	1A
02bb	1307	1308	0
0951	0	48	0
0951	48	61	3
0951	61	91	1A
0951	91	128	1B
0951	128	165	1A
0951	165	205	1B
0951	205	225	1A
0951	225	259	1B
0951	259	282	1A
0951	282	296	1B
0951	296	322	1A
0951	322	676	1B
0951	676	710	1A
0951	710	766	1B
0951	766	785	1A
0951	785	890	1B
0951	890	928	1A
0951	928	1283	1B
0951	1283	1312	1A
0951	1312	1360	1B
0951	1360	1398	1A
0951	1398	1463	1B
0951	1463	1576	1A
0951	1576	1663	1B
0951	1663	1666	0
0adf	0	4	0
0adf	4	63	2
0adf	63	105	1A
0adf	105	119	1B
0adf	119	140	3
0adf	140	171	1B
0adf	171	193	1A
0adf	193	278	1B
0adf	278	301	1A
0adf	301	326	1B
0adf	326	367	3
0adf	367	394	1A
0adf	394	753	2
0adf	753	914	1B
0adf	914	937	1A
0adf	937	964	1B
0adf	964	989	1A
0adf	989	1196	1B
0adf	1196	1239	1A
0adf	1239	1267	1B
0adf	1267	1285	1A
0adf	1285	1288	0
2dc3	0	17	0
2dc3	17	71	1B
2dc3	71	118	1A
2dc3	118	224	1B
2dc3	224	249	1A
2dc3	249	296	1B
2dc3	296	349	1A
2dc3	349	466	1B
2dc3	466	497	1A
2dc3	497	538	1B
2dc3	538	589	1A
2dc3	589	950	1B
2dc3	950	1006	1A
2dc3	1006	1058	1B
2dc3	1058	1108	1A
2dc3	1108	1298	1B
2dc3	1298	1331	1A
2dc3	1331	1359	1B
2dc3	1359	1404	3
2dc3	1404	1468	1B
